id,name,item_type,category,parent_company,ultimate_parent,ownership_type,ticker_or_jurisdiction,is_surprising_or_subterfuge,subterfuge_details,top_10_percent_enrichment_pct,ethical_swap_recommendation
cascadian-farm-organic-dark-chocolate-almond-granola,Cascadian Farm Organic Dark Chocolate Almond Granola,product,Food & Grocery Staples,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,"Product of Cascadian Farm, owned by General Mills. Pioneering organic farm founded in Skagit Valley, WA; acquired by General Mills in 1999. Now predominantly industrial corporate organic supply chain.",89.0,Local Organic CSAs / Stahlbush Island Farms / Regional Co-op Frozen Berries
cascadian-farm-organic-chewy-chocolate-chip-granola-bars,Cascadian Farm Organic Chewy Chocolate Chip Granola Bars,product,Food & Grocery Staples,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,"Product of Cascadian Farm, owned by General Mills. Pioneering organic farm founded in Skagit Valley, WA; acquired by General Mills in 1999. Now predominantly industrial corporate organic supply chain.",89.0,Local Organic CSAs / Stahlbush Island Farms / Regional Co-op Frozen Berries
cascadian-farm-organic-frozen-sweet-peas,Cascadian Farm Organic Frozen Sweet Peas,product,Food & Grocery Staples,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,"Product of Cascadian Farm, owned by General Mills. Pioneering organic farm founded in Skagit Valley, WA; acquired by General Mills in 1999. Now predominantly industrial corporate organic supply chain.",89.0,Local Organic CSAs / Stahlbush Island Farms / Regional Co-op Frozen Berries
muir-glen-organic,Muir Glen Organic,brand,Food & Grocery Staples,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,Named after conservationist John Muir; acquired by General Mills alongside Cascadian Farm in 1999 to dominate organic tomato canned goods aisles.,89.0,Bianco DiNapoli Organic Tomatoes / Jovial Foods / Local Farm Jarred Tomatoes
muir-glen-organic-diced-canned-tomatoes,Muir Glen Organic Diced Canned Tomatoes,product,Food & Grocery Staples,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,"Product of Muir Glen Organic, owned by General Mills. Named after conservationist John Muir; acquired by General Mills alongside Cascadian Farm in 1999 to dominate organic tomato canned goods aisles.",89.0,Bianco DiNapoli Organic Tomatoes / Jovial Foods / Local Farm Jarred Tomatoes
muir-glen-organic-crushed-fire-roasted-tomatoes,Muir Glen Organic Crushed Fire Roasted Tomatoes,product,Food & Grocery Staples,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,"Product of Muir Glen Organic, owned by General Mills. Named after conservationist John Muir; acquired by General Mills alongside Cascadian Farm in 1999 to dominate organic tomato canned goods aisles.",89.0,Bianco DiNapoli Organic Tomatoes / Jovial Foods / Local Farm Jarred Tomatoes
muir-glen-organic-tomato-paste,Muir Glen Organic Tomato Paste,product,Food & Grocery Staples,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,"Product of Muir Glen Organic, owned by General Mills. Named after conservationist John Muir; acquired by General Mills alongside Cascadian Farm in 1999 to dominate organic tomato canned goods aisles.",89.0,Bianco DiNapoli Organic Tomatoes / Jovial Foods / Local Farm Jarred Tomatoes
muir-glen-organic-traditional-pasta-sauce,Muir Glen Organic Traditional Pasta Sauce,product,Food & Grocery Staples,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,"Product of Muir Glen Organic, owned by General Mills. Named after conservationist John Muir; acquired by General Mills alongside Cascadian Farm in 1999 to dominate organic tomato canned goods aisles.",89.0,Bianco DiNapoli Organic Tomatoes / Jovial Foods / Local Farm Jarred Tomatoes
epic-provisions,Epic Provisions,brand,Food & Grocery Staples,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,Grass-fed meat bar pioneer founded in Austin; acquired by General Mills in 2016 for an estimated $100M. Marketed heavily on regenerative agriculture aesthetics.,89.0,Local Regenerative Ranchers / Thousand Hills Lifetime Grazed / Wild Pastures
epic-provisions-bison-bacon-cranberry-bar,Epic Provisions Bison Bacon Cranberry Bar,product,Food & Grocery Staples,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,"Product of Epic Provisions, owned by General Mills. Grass-fed meat bar pioneer founded in Austin; acquired by General Mills in 2016 for an estimated $100M. Marketed heavily on regenerative agriculture aesthetics.",89.0,Local Regenerative Ranchers / Thousand Hills Lifetime Grazed / Wild Pastures
epic-provisions-beef-apple-bacon-bar,Epic Provisions Beef Apple Bacon Bar,product,Food & Grocery Staples,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,"Product of Epic Provisions, owned by General Mills. Grass-fed meat bar pioneer founded in Austin; acquired by General Mills in 2016 for an estimated $100M. Marketed heavily on regenerative agriculture aesthetics.",89.0,Local Regenerative Ranchers / Thousand Hills Lifetime Grazed / Wild Pastures
epic-provisions-traditional-artisanal-pork-rinds,Epic Provisions Traditional Artisanal Pork Rinds,product,Food & Grocery Staples,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,"Product of Epic Provisions, owned by General Mills. Grass-fed meat bar pioneer founded in Austin; acquired by General Mills in 2016 for an estimated $100M. Marketed heavily on regenerative agriculture aesthetics.",89.0,Local Regenerative Ranchers / Thousand Hills Lifetime Grazed / Wild Pastures
epic-provisions-grass-fed-beef-tallow,Epic Provisions Grass Fed Beef Tallow,product,Food & Grocery Staples,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,"Product of Epic Provisions, owned by General Mills. Grass-fed meat bar pioneer founded in Austin; acquired by General Mills in 2016 for an estimated $100M. Marketed heavily on regenerative agriculture aesthetics.",89.0,Local Regenerative Ranchers / Thousand Hills Lifetime Grazed / Wild Pastures
larabar,Larabar,brand,Food & Grocery Staples,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,Created in a home kitchen with minimal whole ingredients; acquired by General Mills in 2008 for an estimated $55M.,89.0,Homemade Date & Nut Bars / Equal Exchange Dried Fruit & Nuts
larabar-peanut-butter-chocolate-chip-gluten-free-bar,Larabar Peanut Butter Chocolate Chip Gluten Free Bar,product,Food & Grocery Staples,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,"Product of Larabar, owned by General Mills. Created in a home kitchen with minimal whole ingredients; acquired by General Mills in 2008 for an estimated $55M.",89.0,Homemade Date & Nut Bars / Equal Exchange Dried Fruit & Nuts
larabar-apple-pie-fruit-nut-bar,Larabar Apple Pie Fruit & Nut Bar,product,Food & Grocery Staples,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,"Product of Larabar, owned by General Mills. Created in a home kitchen with minimal whole ingredients; acquired by General Mills in 2008 for an estimated $55M.",89.0,Homemade Date & Nut Bars / Equal Exchange Dried Fruit & Nuts
larabar-cashew-cookie-bar,Larabar Cashew Cookie Bar,product,Food & Grocery Staples,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,"Product of Larabar, owned by General Mills. Created in a home kitchen with minimal whole ingredients; acquired by General Mills in 2008 for an estimated $55M.",89.0,Homemade Date & Nut Bars / Equal Exchange Dried Fruit & Nuts
larabar-lemon-bar-gluten-free,Larabar Lemon Bar Gluten Free,product,Food & Grocery Staples,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,"Product of Larabar, owned by General Mills. Created in a home kitchen with minimal whole ingredients; acquired by General Mills in 2008 for an estimated $55M.",89.0,Homemade Date & Nut Bars / Equal Exchange Dried Fruit & Nuts
blue-buffalo,Blue Buffalo,brand,Pet Food & Veterinary Care,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,"Promoted aggressively as an artisanal, family-crafted holistic pet food; acquired by General Mills in 2018 for a staggering $8.0 Billion.",89.0,Open Farm Pet Food / The Honest Kitchen / Steve's Real Food
blue-buffalo-life-protection-formula-adult-chicken-brown-rice-dog-food,Blue Buffalo Life Protection Formula Adult Chicken & Brown Rice Dog Food,product,Pet Food & Veterinary Care,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,"Product of Blue Buffalo, owned by General Mills. Promoted aggressively as an artisanal, family-crafted holistic pet food; acquired by General Mills in 2018 for a staggering $8.0 Billion.",89.0,Open Farm Pet Food / The Honest Kitchen / Steve's Real Food
blue-buffalo-wilderness-high-protein-grain-free-salmon-dog-food,Blue Buffalo Wilderness High Protein Grain Free Salmon Dog Food,product,Pet Food & Veterinary Care,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,"Product of Blue Buffalo, owned by General Mills. Promoted aggressively as an artisanal, family-crafted holistic pet food; acquired by General Mills in 2018 for a staggering $8.0 Billion.",89.0,Open Farm Pet Food / The Honest Kitchen / Steve's Real Food
blue-buffalo-tastefuls-chicken-pate-wet-cat-food,Blue Buffalo Tastefuls Chicken Pate Wet Cat Food,product,Pet Food & Veterinary Care,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,"Product of Blue Buffalo, owned by General Mills. Promoted aggressively as an artisanal, family-crafted holistic pet food; acquired by General Mills in 2018 for a staggering $8.0 Billion.",89.0,Open Farm Pet Food / The Honest Kitchen / Steve's Real Food
blue-buffalo-health-bars-baked-with-apples-yogurt-dog-treats,Blue Buffalo Health Bars Baked with Apples & Yogurt Dog Treats,product,Pet Food & Veterinary Care,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,"Product of Blue Buffalo, owned by General Mills. Promoted aggressively as an artisanal, family-crafted holistic pet food; acquired by General Mills in 2018 for a staggering $8.0 Billion.",89.0,Open Farm Pet Food / The Honest Kitchen / Steve's Real Food
burts-bees,Burt's Bees,brand,Personal Care & Cosmetics,The Clorox Company,The Clorox Company,Public Conglomerate,NYSE: CLX,True,Started by a Maine beekeeper selling candles at craft fairs; acquired in 2007 by chemical and bleach maker Clorox for $925M. Retains rustic bee logo.,91.0,Badger Balm (Certified B Corp & Family-Owned) / Meow Meow Tweet / Eco Lips
burts-bees-100-natural-moisturizing-beeswax-lip-balm,Burt's Bees 100% Natural Moisturizing Beeswax Lip Balm,product,Personal Care & Cosmetics,The Clorox Company,The Clorox Company,Public Conglomerate,NYSE: CLX,True,"Product of Burt's Bees, owned by The Clorox Company. Started by a Maine beekeeper selling candles at craft fairs; acquired in 2007 by chemical and bleach maker Clorox for $925M. Retains rustic bee logo.",91.0,Badger Balm (Certified B Corp & Family-Owned) / Meow Meow Tweet / Eco Lips
burts-bees-coconut-foot-cream-with-vitamin-e,Burt's Bees Coconut Foot Cream with Vitamin E,product,Personal Care & Cosmetics,The Clorox Company,The Clorox Company,Public Conglomerate,NYSE: CLX,True,"Product of Burt's Bees, owned by The Clorox Company. Started by a Maine beekeeper selling candles at craft fairs; acquired in 2007 by chemical and bleach maker Clorox for $925M. Retains rustic bee logo.",91.0,Badger Balm (Certified B Corp & Family-Owned) / Meow Meow Tweet / Eco Lips
burts-bees-hand-salve-herbal-treatment,Burt's Bees Hand Salve Herbal Treatment,product,Personal Care & Cosmetics,The Clorox Company,The Clorox Company,Public Conglomerate,NYSE: CLX,True,"Product of Burt's Bees, owned by The Clorox Company. Started by a Maine beekeeper selling candles at craft fairs; acquired in 2007 by chemical and bleach maker Clorox for $925M. Retains rustic bee logo.",91.0,Badger Balm (Certified B Corp & Family-Owned) / Meow Meow Tweet / Eco Lips
burts-bees-lemon-butter-cuticle-cream,Burt's Bees Lemon Butter Cuticle Cream,product,Personal Care & Cosmetics,The Clorox Company,The Clorox Company,Public Conglomerate,NYSE: CLX,True,"Product of Burt's Bees, owned by The Clorox Company. Started by a Maine beekeeper selling candles at craft fairs; acquired in 2007 by chemical and bleach maker Clorox for $925M. Retains rustic bee logo.",91.0,Badger Balm (Certified B Corp & Family-Owned) / Meow Meow Tweet / Eco Lips
burts-bees-sensitive-facial-cleanser-with-cotton-extract,Burt's Bees Sensitive Facial Cleanser with Cotton Extract,product,Personal Care & Cosmetics,The Clorox Company,The Clorox Company,Public Conglomerate,NYSE: CLX,True,"Product of Burt's Bees, owned by The Clorox Company. Started by a Maine beekeeper selling candles at craft fairs; acquired in 2007 by chemical and bleach maker Clorox for $925M. Retains rustic bee logo.",91.0,Badger Balm (Certified B Corp & Family-Owned) / Meow Meow Tweet / Eco Lips
burts-bees-tinted-lip-balm-red-dahlia,Burt's Bees Tinted Lip Balm Red Dahlia,product,Personal Care & Cosmetics,The Clorox Company,The Clorox Company,Public Conglomerate,NYSE: CLX,True,"Product of Burt's Bees, owned by The Clorox Company. Started by a Maine beekeeper selling candles at craft fairs; acquired in 2007 by chemical and bleach maker Clorox for $925M. Retains rustic bee logo.",91.0,Badger Balm (Certified B Corp & Family-Owned) / Meow Meow Tweet / Eco Lips
natural-vitality-calm,Natural Vitality (Calm),brand,Personal Care & Cosmetics,The Clorox Company,The Clorox Company,Public Conglomerate,NYSE: CLX,True,Renowned antistress magnesium drink mix line acquired by Clorox as part of its wellness acquisition portfolio (Nutranext) for $700M in 2018.,91.0,Trace Minerals Research / Independent Bulk Magnesium Glycinate Makers
natural-vitality-calm-magnesium-anti-stress-drink-mix-sweet-lemon,Natural Vitality Calm Magnesium Anti-Stress Drink Mix Sweet Lemon,product,Personal Care & Cosmetics,The Clorox Company,The Clorox Company,Public Conglomerate,NYSE: CLX,True,"Product of Natural Vitality (Calm), owned by The Clorox Company. Renowned antistress magnesium drink mix line acquired by Clorox as part of its wellness acquisition portfolio (Nutranext) for $700M in 2018.",91.0,Trace Minerals Research / Independent Bulk Magnesium Glycinate Makers
natural-vitality-calm-gummies-magnesium-supplement-raspberry-lemon,Natural Vitality Calm Gummies Magnesium Supplement Raspberry Lemon,product,Personal Care & Cosmetics,The Clorox Company,The Clorox Company,Public Conglomerate,NYSE: CLX,True,"Product of Natural Vitality (Calm), owned by The Clorox Company. Renowned antistress magnesium drink mix line acquired by Clorox as part of its wellness acquisition portfolio (Nutranext) for $700M in 2018.",91.0,Trace Minerals Research / Independent Bulk Magnesium Glycinate Makers
natural-vitality-calm-sleep-magnesium-powder-with-melatonin,Natural Vitality Calm Sleep Magnesium Powder with Melatonin,product,Personal Care & Cosmetics,The Clorox Company,The Clorox Company,Public Conglomerate,NYSE: CLX,True,"Product of Natural Vitality (Calm), owned by The Clorox Company. Renowned antistress magnesium drink mix line acquired by Clorox as part of its wellness acquisition portfolio (Nutranext) for $700M in 2018.",91.0,Trace Minerals Research / Independent Bulk Magnesium Glycinate Makers
renew-life-probiotics,Renew Life Probiotics,brand,Personal Care & Cosmetics,The Clorox Company,The Clorox Company,Public Conglomerate,NYSE: CLX,True,Digestive wellness and probiotic pioneer acquired by bleach manufacturer Clorox in 2016 for $290M.,91.0,Garden of Life Independent Alternatives / Local Raw Fermented Foods
renew-life-extra-care-probiotic-50-billion-cfu-capsules,Renew Life Extra Care Probiotic 50 Billion CFU Capsules,product,Personal Care & Cosmetics,The Clorox Company,The Clorox Company,Public Conglomerate,NYSE: CLX,True,"Product of Renew Life Probiotics, owned by The Clorox Company. Digestive wellness and probiotic pioneer acquired by bleach manufacturer Clorox in 2016 for $290M.",91.0,Garden of Life Independent Alternatives / Local Raw Fermented Foods
renew-life-womens-care-probiotic-capsules,Renew Life Women's Care Probiotic Capsules,product,Personal Care & Cosmetics,The Clorox Company,The Clorox Company,Public Conglomerate,NYSE: CLX,True,"Product of Renew Life Probiotics, owned by The Clorox Company. Digestive wellness and probiotic pioneer acquired by bleach manufacturer Clorox in 2016 for $290M.",91.0,Garden of Life Independent Alternatives / Local Raw Fermented Foods
renew-life-cleanse-more-herbal-detox-tablets,Renew Life Cleanse More Herbal Detox Tablets,product,Personal Care & Cosmetics,The Clorox Company,The Clorox Company,Public Conglomerate,NYSE: CLX,True,"Product of Renew Life Probiotics, owned by The Clorox Company. Digestive wellness and probiotic pioneer acquired by bleach manufacturer Clorox in 2016 for $290M.",91.0,Garden of Life Independent Alternatives / Local Raw Fermented Foods
rainbow-light-vitamins,Rainbow Light Vitamins,brand,Personal Care & Cosmetics,The Clorox Company,The Clorox Company,Public Conglomerate,NYSE: CLX,True,Food-based multivitamin brand widely stocked in natural grocers; absorbed into Clorox in 2018 under the Nutranext holding acquisition.,91.0,MegaFood (Certified B Corp) / New Chapter / Innate Response
rainbow-light-mens-one-multivitamin-high-potency,Rainbow Light Men's One Multivitamin High Potency,product,Personal Care & Cosmetics,The Clorox Company,The Clorox Company,Public Conglomerate,NYSE: CLX,True,"Product of Rainbow Light Vitamins, owned by The Clorox Company. Food-based multivitamin brand widely stocked in natural grocers; absorbed into Clorox in 2018 under the Nutranext holding acquisition.",91.0,MegaFood (Certified B Corp) / New Chapter / Innate Response
rainbow-light-womens-one-daily-multivitamin,Rainbow Light Women's One Daily Multivitamin,product,Personal Care & Cosmetics,The Clorox Company,The Clorox Company,Public Conglomerate,NYSE: CLX,True,"Product of Rainbow Light Vitamins, owned by The Clorox Company. Food-based multivitamin brand widely stocked in natural grocers; absorbed into Clorox in 2018 under the Nutranext holding acquisition.",91.0,MegaFood (Certified B Corp) / New Chapter / Innate Response
rainbow-light-prenatal-one-multivitamin-tablets,Rainbow Light Prenatal One Multivitamin Tablets,product,Personal Care & Cosmetics,The Clorox Company,The Clorox Company,Public Conglomerate,NYSE: CLX,True,"Product of Rainbow Light Vitamins, owned by The Clorox Company. Food-based multivitamin brand widely stocked in natural grocers; absorbed into Clorox in 2018 under the Nutranext holding acquisition.",91.0,MegaFood (Certified B Corp) / New Chapter / Innate Response
toms-of-maine,Tom's of Maine,brand,Personal Care & Cosmetics,Colgate-Palmolive,Colgate-Palmolive Company,Public Conglomerate,NYSE: CL,True,Founded in 1970 by Tom and Kate Chappell as a natural living icon; acquired 84% majority stake by multinational Colgate-Palmolive in 2006 for $100M.,89.0,Bite Toothpaste Bits (Plastic-Free) / Davids Natural Toothpaste / Dr. Bronner's All-One Toothpaste
toms-of-maine-whole-care-natural-fluoride-toothpaste-spearmint,Tom's of Maine Whole Care Natural Fluoride Toothpaste Spearmint,product,Personal Care & Cosmetics,Colgate-Palmolive,Colgate-Palmolive Company,Public Conglomerate,NYSE: CL,True,"Product of Tom's of Maine, owned by Colgate-Palmolive. Founded in 1970 by Tom and Kate Chappell as a natural living icon; acquired 84% majority stake by multinational Colgate-Palmolive in 2006 for $100M.",89.0,Bite Toothpaste Bits (Plastic-Free) / Davids Natural Toothpaste / Dr. Bronner's All-One Toothpaste
toms-of-maine-long-lasting-natural-deodorant-wild-lavender,Tom's of Maine Long Lasting Natural Deodorant Wild Lavender,product,Personal Care & Cosmetics,Colgate-Palmolive,Colgate-Palmolive Company,Public Conglomerate,NYSE: CL,True,"Product of Tom's of Maine, owned by Colgate-Palmolive. Founded in 1970 by Tom and Kate Chappell as a natural living icon; acquired 84% majority stake by multinational Colgate-Palmolive in 2006 for $100M.",89.0,Bite Toothpaste Bits (Plastic-Free) / Davids Natural Toothpaste / Dr. Bronner's All-One Toothpaste
toms-of-maine-antiplaque-and-whitening-peppermint-toothpaste,Tom's of Maine Antiplaque and Whitening Peppermint Toothpaste,product,Personal Care & Cosmetics,Colgate-Palmolive,Colgate-Palmolive Company,Public Conglomerate,NYSE: CL,True,"Product of Tom's of Maine, owned by Colgate-Palmolive. Founded in 1970 by Tom and Kate Chappell as a natural living icon; acquired 84% majority stake by multinational Colgate-Palmolive in 2006 for $100M.",89.0,Bite Toothpaste Bits (Plastic-Free) / Davids Natural Toothpaste / Dr. Bronner's All-One Toothpaste
toms-of-maine-childrens-natural-silly-strawberry-toothpaste,Tom's of Maine Children's Natural Silly Strawberry Toothpaste,product,Personal Care & Cosmetics,Colgate-Palmolive,Colgate-Palmolive Company,Public Conglomerate,NYSE: CL,True,"Product of Tom's of Maine, owned by Colgate-Palmolive. Founded in 1970 by Tom and Kate Chappell as a natural living icon; acquired 84% majority stake by multinational Colgate-Palmolive in 2006 for $100M.",89.0,Bite Toothpaste Bits (Plastic-Free) / Davids Natural Toothpaste / Dr. Bronner's All-One Toothpaste
hello-products,Hello Products,brand,Personal Care & Cosmetics,Colgate-Palmolive,Colgate-Palmolive Company,Public Conglomerate,NYSE: CL,True,"Gen-Z focused, vegan, black charcoal oral care challenger acquired by Colgate-Palmolive in 2020 to capture the eco-conscious natural consumer.",89.0,Davids Natural Toothpaste / Georganics / Bite Toothpaste Bits
hello-activated-charcoal-with-fresh-mint-whitening-toothpaste,Hello Activated Charcoal with Fresh Mint Whitening Toothpaste,product,Personal Care & Cosmetics,Colgate-Palmolive,Colgate-Palmolive Company,Public Conglomerate,NYSE: CL,True,"Product of Hello Products, owned by Colgate-Palmolive. Gen-Z focused, vegan, black charcoal oral care challenger acquired by Colgate-Palmolive in 2020 to capture the eco-conscious natural consumer.",89.0,Davids Natural Toothpaste / Georganics / Bite Toothpaste Bits
hello-naturally-whitening-fluoride-toothpaste-farm-grown-mint,Hello Naturally Whitening Fluoride Toothpaste Farm Grown Mint,product,Personal Care & Cosmetics,Colgate-Palmolive,Colgate-Palmolive Company,Public Conglomerate,NYSE: CL,True,"Product of Hello Products, owned by Colgate-Palmolive. Gen-Z focused, vegan, black charcoal oral care challenger acquired by Colgate-Palmolive in 2020 to capture the eco-conscious natural consumer.",89.0,Davids Natural Toothpaste / Georganics / Bite Toothpaste Bits
hello-kids-fluoride-free-natural-watermelon-toothpaste,Hello Kids Fluoride Free Natural Watermelon Toothpaste,product,Personal Care & Cosmetics,Colgate-Palmolive,Colgate-Palmolive Company,Public Conglomerate,NYSE: CL,True,"Product of Hello Products, owned by Colgate-Palmolive. Gen-Z focused, vegan, black charcoal oral care challenger acquired by Colgate-Palmolive in 2020 to capture the eco-conscious natural consumer.",89.0,Davids Natural Toothpaste / Georganics / Bite Toothpaste Bits
native-deodorant,Native Deodorant,brand,Personal Care & Cosmetics,Procter & Gamble,The Procter & Gamble Company,Public Conglomerate,NYSE: PG,True,Launched as an independent direct-to-consumer aluminum-free deodorant; acquired by consumer giant Procter & Gamble in 2017 for $100M cash.,91.0,Meow Meow Tweet / Routine Deodorant / Dr. Bronner's Organic Sugar Soaps
native-aluminum-free-deodorant-coconut-vanilla,Native Aluminum Free Deodorant Coconut & Vanilla,product,Personal Care & Cosmetics,Procter & Gamble,The Procter & Gamble Company,Public Conglomerate,NYSE: PG,True,"Product of Native Deodorant, owned by Procter & Gamble. Launched as an independent direct-to-consumer aluminum-free deodorant; acquired by consumer giant Procter & Gamble in 2017 for $100M cash.",91.0,Meow Meow Tweet / Routine Deodorant / Dr. Bronner's Organic Sugar Soaps
native-aluminum-free-deodorant-cucumber-mint,Native Aluminum Free Deodorant Cucumber & Mint,product,Personal Care & Cosmetics,Procter & Gamble,The Procter & Gamble Company,Public Conglomerate,NYSE: PG,True,"Product of Native Deodorant, owned by Procter & Gamble. Launched as an independent direct-to-consumer aluminum-free deodorant; acquired by consumer giant Procter & Gamble in 2017 for $100M cash.",91.0,Meow Meow Tweet / Routine Deodorant / Dr. Bronner's Organic Sugar Soaps
native-moisturizing-body-wash-coconut-vanilla,Native Moisturizing Body Wash Coconut & Vanilla,product,Personal Care & Cosmetics,Procter & Gamble,The Procter & Gamble Company,Public Conglomerate,NYSE: PG,True,"Product of Native Deodorant, owned by Procter & Gamble. Launched as an independent direct-to-consumer aluminum-free deodorant; acquired by consumer giant Procter & Gamble in 2017 for $100M cash.",91.0,Meow Meow Tweet / Routine Deodorant / Dr. Bronner's Organic Sugar Soaps
